hour,day,month,humidity,pressure_mb,cloud,temp_c
0,25,2,74,1015.0,39,25.7
1,25,2,74,1015.0,34,25.5
2,25,2,74,1014.0,32,25.3
3,25,2,74,1013.0,37,25.2
4,25,2,74,1013.0,34,25.0
5,25,2,75,1014.0,37,24.8
6,25,2,75,1015.0,38,24.6
7,25,2,72,1016.0,39,25.4
8,25,2,67,1017.0,31,26.7
9,25,2,62,1017.0,7,27.8
10,25,2,59,1017.0,0,28.4
11,25,2,58,1016.0,0,28.6
12,25,2,58,1015.0,0,28.8
13,25,2,58,1015.0,0,28.8
14,25,2,58,1014.0,0,28.7
15,25,2,60,1013.0,0,28.4
16,25,2,62,1013.0,0,28.0
17,25,2,65,1014.0,10,27.4
18,25,2,70,1014.0,17,26.5
19,25,2,71,1015.0,15,26.1
20,25,2,72,1016.0,10,26.0
21,25,2,72,1017.0,0,25.9
22,25,2,72,1017.0,1,25.8
23,25,2,73,1016.0,4,25.6
0,26,2,73,1016.0,30,25.9
1,26,2,74,1015.0,32,25.6
2,26,2,75,1014.0,24,25.5
3,26,2,75,1014.0,31,25.2
4,26,2,76,1014.0,46,25.2
5,26,2,77,1014.0,59,25.1
6,26,2,77,1015.0,59,25.0
7,26,2,74,1016.0,51,25.8
8,26,2,69,1017.0,46,27.1
9,26,2,65,1017.0,29,28.1
10,26,2,62,1017.0,13,28.7
11,26,2,61,1016.0,2,28.9
12,26,2,60,1015.0,0,29.0
13,26,2,60,1014.0,0,29.0
14,26,2,59,1013.0,0,28.9
15,26,2,60,1013.0,0,28.6
16,26,2,61,1013.0,0,28.1
17,26,2,63,1013.0,0,27.5
18,26,2,67,1014.0,0,26.5
19,26,2,69,1015.0,0,26.1
20,26,2,69,1015.0,0,26.0
21,26,2,70,1016.0,0,25.8
22,26,2,71,1016.0,0,25.7
23,26,2,72,1016.0,0,25.5
0,27,2,73,1014.0,2,25.6
1,27,2,74,1013.0,3,25.4
2,27,2,75,1013.0,11,25.1
3,27,2,76,1013.0,26,25.0
4,27,2,77,1013.0,44,24.9
5,27,2,79,1013.0,63,24.7
6,27,2,79,1014.0,63,24.6
7,27,2,75,1015.0,65,25.6
8,27,2,70,1016.0,61,27.0
9,27,2,66,1016.0,79,28.0
10,27,2,63,1016.0,11,28.6
11,27,2,62,1015.0,4,28.9
12,27,2,61,1013.0,0,29.1
13,27,2,60,1012.0,0,29.2
14,27,2,60,1011.0,0,29.1
15,27,2,62,1010.0,0,28.7
16,27,2,65,1011.0,0,28.2
17,27,2,69,1011.0,18,27.5
18,27,2,73,1012.0,33,26.6
19,27,2,74,1013.0,43,26.4
20,27,2,74,1014.0,44,26.3
21,27,2,74,1014.0,50,26.3
22,27,2,74,1014.0,45,26.2
23,27,2,74,1014.0,46,26.1
0,28,2,73,1013.0,13,25.5
1,28,2,74,1013.0,12,25.2
2,28,2,75,1011.0,5,25.0
3,28,2,76,1011.0,7,24.7
4,28,2,77,1011.0,10,24.6
5,28,2,79,1012.0,26,24.4
6,28,2,79,1013.0,34,24.3
7,28,2,76,1013.0,50,25.5
8,28,2,72,1014.0,66,26.8
9,28,2,69,1015.0,61,27.8
10,28,2,65,1015.0,87,28.7
11,28,2,65,1014.0,74,28.9
12,28,2,65,1012.0,75,28.9
13,28,2,65,1011.0,14,29.0
14,28,2,65,1010.0,7,28.9
15,28,2,66,1009.0,2,28.7
16,28,2,68,1010.0,7,28.3
17,28,2,71,1010.0,11,27.6
18,28,2,75,1011.0,20,26.7
19,28,2,76,1012.0,26,26.5
20,28,2,77,1013.0,28,26.5
21,28,2,77,1013.0,24,26.4
22,28,2,77,1013.0,23,26.4
23,28,2,77,1013.0,22,26.4
0,1,3,76,1013.0,11,26.1
1,1,3,77,1012.0,6,25.9
2,1,3,77,1011.0,2,25.8
3,1,3,78,1010.0,0,25.7
4,1,3,79,1010.0,2,25.6
5,1,3,79,1011.0,6,25.5
6,1,3,80,1012.0,29,25.4
7,1,3,77,1013.0,82,26.2
